version,deleted,newly_added,merged,deleted_reused,merged_reused
2014-08-01,310603,1184830,33153,,
2014-09-01,7957,3362,211,7694,
2014-10-01,6535,3856,381,5590,
2014-11-01,9568,5849,463,6037,
2014-12-01,7147,3699,255,6378,
2015-01-01,7650,5104,295,4762,
2015-02-01,14911,2699,240,9900,
2015-03-01,9123,4117,273,6025,
2015-04-01,13748,3398,316,9951,
2015-05-01,8381,2639,554,6279,
2015-06-01,8629,3320,447,4385,
2015-07-01,12746,4140,438,14992,
2015-08-01,14680,4300,232,8300,
2015-09-01,6646,4083,404,8330,
2015-10-01,16933,6052,342,12273,
2015-11-01,12169,4727,620,15613,
2015-12-01,9782,6298,436,13206,
2016-01-01,7834,4133,446,9175,
2016-03-01,18825,13532,1230,12250,
2016-04-01,10135,6106,469,6461,
2016-05-01,13835,4704,449,14778,1
2016-06-01,6303,6110,434,14237,1
2016-08-01,14866,13730,633,10324,2
2016-09-01,8033,4683,273,8450,
2016-10-01,6420,2084,219,6213,
2016-11-01,5097,3548,1419,3765,2
2016-12-01,5881,3517,219,7113,1
2017-01-01,4208,3102,298,5800,
2017-02-01,6762,3108,310,4588,
2017-03-01,8929,13341,371,5509,
2017-04-01,6721,4026,347,6778,
2017-05-01,4904,4306,217,7364,
2017-06-01,12789,9715,287,4746,
2017-07-01,6974,4622,329,3735,3
2017-08-01,3669,2483,285,14135,
2017-09-01,6716,2853,253,3892,
2017-10-01,5766,2451,369,4865,
2017-12-01,8194,7087,564,8602,
2018-01-01,7732,2711,382,4123,1
2018-02-01,9020,4106,325,6676,
2018-03-01,17113,9415,326,3743,
2018-04-01,14688,16683,422,16358,
2018-05-01,31551,4950,292,9794,
2018-06-01,31336,6040,430,22034,
2018-07-01,35696,10657,260,17726,
2018-08-01,21046,11585,246,20586,
2018-09-01,4992,10658,404,15697,
2018-10-01,78319,34128,384,12118,
2018-11-01,34245,31692,509,68228,
2018-12-01,5699,1856,210,33487,
2019-01-01,3722,2562,330,4653,
2019-02-01,5488,5990,404,4411,
2019-03-01,12567,6473,219,3598,
2019-04-01,12807,19580,271,11672,1
2019-05-01,10502,2453,345,4103,
2019-06-01,8008,1458,509,13797,
2019-07-01,5050,2192,371,6695,
2019-08-01,6041,1611,256,6501,
2019-09-01,4975,2541,191,5328,
2019-10-01,10854,32970,278,3497,
2019-11-01,10648,2025,223,3530,
2019-12-01,11905,5727,351,7961,
2020-01-01,8928,4337,262,15423,
2020-02-01,8566,2024,292,8309,
2020-03-01,5752,3051,390,3998,
2020-04-01,6982,2149,522,4085,
2020-05-01,6380,2277,434,7099,
2020-06-01,5648,3182,429,5504,
2020-07-01,6715,1982,366,4379,
2020-08-01,8667,2053,632,4155,
2020-09-01,7135,1457,325,5425,
2020-10-01,6091,2567,346,6654,
2020-11-01,5126,1479,365,4754,
2020-12-01,5726,3696,358,4986,
2021-01-01,5506,1661,472,3561,
2021-02-01,4320,2260,559,6528,
2021-03-01,7015,1395,400,5145,
2021-04-01,5230,2101,650,4633,1
2021-05-01,7419,1687,549,4324,2
2021-06-01,6654,2052,321,4623,
