version,types,count
2014-08-01,deleted,310603
2014-08-01,newly_added,1184830
2014-08-01,deleted_reused,
2014-08-01,merged_reused,
2014-09-01,deleted,7957
2014-09-01,newly_added,3362
2014-09-01,deleted_reused,7694
2014-09-01,merged_reused,
2014-10-01,deleted,6535
2014-10-01,newly_added,3856
2014-10-01,deleted_reused,5590
2014-10-01,merged_reused,
2014-11-01,deleted,9568
2014-11-01,newly_added,5849
2014-11-01,deleted_reused,6037
2014-11-01,merged_reused,
2014-12-01,deleted,7147
2014-12-01,newly_added,3699
2014-12-01,deleted_reused,6378
2014-12-01,merged_reused,
2015-01-01,deleted,7650
2015-01-01,newly_added,5104
2015-01-01,deleted_reused,4762
2015-01-01,merged_reused,
2015-02-01,deleted,14911
2015-02-01,newly_added,2699
2015-02-01,deleted_reused,9900
2015-02-01,merged_reused,
2015-03-01,deleted,9123
2015-03-01,newly_added,4117
2015-03-01,deleted_reused,6025
2015-03-01,merged_reused,
2015-04-01,deleted,13748
2015-04-01,newly_added,3398
2015-04-01,deleted_reused,9951
2015-04-01,merged_reused,
2015-05-01,deleted,8381
2015-05-01,newly_added,2639
2015-05-01,deleted_reused,6279
2015-05-01,merged_reused,
2015-06-01,deleted,8629
2015-06-01,newly_added,3320
2015-06-01,deleted_reused,4385
2015-06-01,merged_reused,
2015-07-01,deleted,12746
2015-07-01,newly_added,4140
2015-07-01,deleted_reused,14992
2015-07-01,merged_reused,
2015-08-01,deleted,14680
2015-08-01,newly_added,4300
2015-08-01,deleted_reused,8300
2015-08-01,merged_reused,
2015-09-01,deleted,6646
2015-09-01,newly_added,4083
2015-09-01,deleted_reused,8330
2015-09-01,merged_reused,
2015-10-01,deleted,16933
2015-10-01,newly_added,6052
2015-10-01,deleted_reused,12273
2015-10-01,merged_reused,
2015-11-01,deleted,12169
2015-11-01,newly_added,4727
2015-11-01,deleted_reused,15613
2015-11-01,merged_reused,
2015-12-01,deleted,9782
2015-12-01,newly_added,6298
2015-12-01,deleted_reused,13206
2015-12-01,merged_reused,
2016-01-01,deleted,7834
2016-01-01,newly_added,4133
2016-01-01,deleted_reused,9175
2016-01-01,merged_reused,
2016-03-01,deleted,18825
2016-03-01,newly_added,13532
2016-03-01,deleted_reused,12250
2016-03-01,merged_reused,
2016-04-01,deleted,10135
2016-04-01,newly_added,6106
2016-04-01,deleted_reused,6461
2016-04-01,merged_reused,
2016-05-01,deleted,13835
2016-05-01,newly_added,4704
2016-05-01,deleted_reused,14778
2016-05-01,merged_reused,1
2016-06-01,deleted,6303
2016-06-01,newly_added,6110
2016-06-01,deleted_reused,14237
2016-06-01,merged_reused,1
2016-08-01,deleted,14866
2016-08-01,newly_added,13730
2016-08-01,deleted_reused,10324
2016-08-01,merged_reused,2
2016-09-01,deleted,8033
2016-09-01,newly_added,4683
2016-09-01,deleted_reused,8450
2016-09-01,merged_reused,
2016-10-01,deleted,6420
2016-10-01,newly_added,2084
2016-10-01,deleted_reused,6213
2016-10-01,merged_reused,
2016-11-01,deleted,5097
2016-11-01,newly_added,3548
2016-11-01,deleted_reused,3765
2016-11-01,merged_reused,2
2016-12-01,deleted,5881
2016-12-01,newly_added,3517
2016-12-01,deleted_reused,7113
2016-12-01,merged_reused,1
2017-01-01,deleted,4208
2017-01-01,newly_added,3102
2017-01-01,deleted_reused,5800
2017-01-01,merged_reused,
2017-02-01,deleted,6762
2017-02-01,newly_added,3108
2017-02-01,deleted_reused,4588
2017-02-01,merged_reused,
2017-03-01,deleted,8929
2017-03-01,newly_added,13341
2017-03-01,deleted_reused,5509
2017-03-01,merged_reused,
2017-04-01,deleted,6721
2017-04-01,newly_added,4026
2017-04-01,deleted_reused,6778
2017-04-01,merged_reused,
2017-05-01,deleted,4904
